PositionX;PositionY;PositionZ;Mass;VelocityX;VelocityY;VelocityZ;Size;AccelerationX;AccelerationY;AccelerationZ;Force;ColorR;ColorG;ColorB;Movable
10000.00;-227.70;-130.40;102.41;0.09;-0.28;13.46;12.30;0.00;0.00;0.00;0.00;0.25;0.47;0.85;1.00
3628.00;-26.80;5441.00;86.81;-14.07;0.21;8.52;12.70;0.00;0.00;0.00;0.00;0.60;0.80;0.85;1.00
3181.00;-118.80;-447.50;568.34;1.99;-0.49;23.52;29.10;0.00;0.00;0.00;0.00;0.85;0.72;0.53;1.00
152.00;-10.50;1700.00;1898.19;-32.38;0.71;4.40;34.95;0.00;0.00;0.00;0.00;0.80;0.67;0.50;1.00
-453.90;17.90;321.80;0.64;-32.43;-0.11;-43.35;1.70;0.00;0.00;0.00;0.00;0.79;0.36;0.21;1.00
-335.00;0.10;-3.30;5.97;-0.84;0.00;-73.51;3.20;0.00;0.00;0.00;0.00;0.27;0.50;0.75;1.00
-242.20;14.00;2.50;4.87;-1.98;-1.07;-86.57;3.05;0.00;0.00;0.00;0.00;0.90;0.76;0.52;1.00
-122.90;13.20;23.20;0.33;-48.98;-4.68;-112.20;1.20;0.00;0.00;0.00;0.00;0.42;0.38;0.35;1.00
-1.70;0.06;-1.70;1988410.00;0.03;0.00;-0.01;84.75;0.00;0.00;0.00;0.00;1.00;0.85;0.00;0.00
